population,iterations,fitness,stats
200,100,"[140045.31381652644, 152983.09654936765, 156302.83542078754, 152425.9831746443, 155440.4928322078, 144977.7323335136, 152549.61564801366, 162750.6596003188, 168811.4671069512, 155061.7875478822]","(148586.2548636833, 149355.14206892694, 154354.37547007992, 159082.90981745374, 160028.3120623059)"
200,500,"[169789.49373130023, 154797.92295448648, 166534.12166497405, 178638.77384990972, 166871.26605832798, 158519.31725276678, 133052.47419973166, 175898.2102379659, 162125.19362079888, 157227.9395298868]","(152013.13853474462, 154882.61453175166, 162479.73397981346, 168668.66053191567, 171006.1433982626)"
200,1000,"[148050.06096813822, 153684.82072844767, 148314.23070001483, 122390.08946610295, 169762.13056228048, 165554.18221528974, 158807.0385837478, 166992.92273737417, 170333.24597201566, 139128.1739540059]","(142999.32976179884, 144955.6636601924, 154409.4427530243, 164182.3211046593, 167291.94517496674)"
500,100,"[143773.39140786947, 152969.31961682235, 145072.93363873687, 156633.60053065504, 150784.93137148602, 151811.06113980126, 154239.28420042197, 162515.3053221328, 161743.11187458187, 145994.60384586977]","(147921.30416509317, 148815.57868100613, 152713.0504714654, 156411.783974142, 157947.94589735905)"
500,500,"[158860.22949364156, 154725.1264095725, 158408.74272695687, 146358.2652050991, 156495.93504282646, 160180.8970714386, 154813.2212912627, 134982.16379852183, 141961.0597053875, 160276.31025492022]","(145054.0569280614, 146990.43302144948, 152632.9347373513, 157338.16024569556, 158650.220073951)"
500,1000,"[138305.7155930271, 151798.5447890048, 139317.34998095085, 161710.50662138173, 147599.59882444586, 136172.97791166525, 127680.14282041418, 154237.55043299988, 155861.64034363744, 146561.75098807973]","(138437.3785001413, 140613.70876824073, 146080.94437737996, 151582.35794179497, 153636.95955669013)"
1000,100,"[142058.5521125239, 147741.5281331152, 137328.63635193303, 161594.38941031575, 151830.3931350765, 141735.71477867707, 139104.11377473897, 147106.89780942703, 148365.97916008878, 145892.54900794616]","(140880.1474192426, 141858.63543832398, 146141.18242259536, 150352.5785256549, 152584.89185444586)"
1000,500,"[139468.69940670184, 147967.9001554397, 149573.23060035508, 141105.57199147015, 142097.38989389432, 116731.38851231878, 138192.0868344297, 147033.64832128282, 158922.18613689687, 158620.51311033653]","(132772.71090798822, 137380.76480854925, 144058.44268698353, 150409.07194524488, 155118.88045282866)"
1000,1000,"[131854.80010473792, 142814.18905666133, 139516.5309471824, 148343.61198284273, 141377.99348483255, 143387.61855948795, 146578.02082643047, 162807.9347838601, 147352.05524144403, 133003.5156651831]","(136831.21196870162, 138803.7302236791, 143650.77984027192, 149427.36009525383, 151711.82692935955)"
