population,iterations,fitness,stats
200,100,"[6146139586.691775, 6226894985.110955, 6438510803.176812, 6658313072.895096, 6445470929.158754, 6304691887.226182, 6455968635.929544, 5954341704.229172, 5660816885.237392, 5938262696.54421]","(5979115607.5227785, 6040880741.6418495, 6221306809.579216, 6379934691.435164, 6453056640.599852)"
200,500,"[6341034823.842155, 6464454935.12659, 6473383513.367769, 5807958390.4632, 6584998771.936827, 5327659283.570192, 5792555928.376794, 6339852506.376552, 6744688377.73733, 6098627681.9884]","(5755464559.517894, 5910392099.04661, 6200572723.787826, 6436923188.122961, 6506578221.61154)"
200,1000,"[5809953749.48389, 6102036531.165302, 6610476582.320335, 6054576566.075704, 6015768654.033161, 5960580657.930835, 5522924567.751492, 6253443831.160467, 5863665170.165804, 6049714087.08921]","(5767222354.587698, 5871070932.432495, 6021837708.614471, 6196101346.947121, 6256058220.916692)"
500,100,"[5666794831.463948, 5697126034.670847, 5310945895.412683, 4960901086.795771, 5414122812.109989, 6090576914.6203165, 5271716422.117216, 6342753056.3905, 4932969305.4383745, 5311545950.393695]","(5155952323.089615, 5251009247.6434965, 5496315019.916821, 5776238435.615056, 5821427005.813555)"
500,500,"[5905054915.03889, 5471038628.421169, 6276668065.339276, 5296119179.739555, 6315819438.748505, 6082833806.258668, 5485906122.897015, 5920675248.765914, 5848656183.409629, 6224975196.663249]","(5585906671.792254, 5660818751.230001, 5889536078.457252, 6094246084.532804, 6170969174.808809)"
500,1000,"[6207349443.782293, 6799216829.176785, 5254165407.177546, 5806484629.430844, 5431351192.335553, 6171030562.554382, 6055339236.821445, 5438394224.4909725, 6597898783.273424, 5882945111.670019]","(5621881779.403017, 5669554110.063223, 5972119822.845382, 6241746421.16954, 6373846253.501738)"
1000,100,"[6123906917.119718, 5590981850.492746, 5119914753.185362, 5465935590.673391, 5709807373.364133, 6032062096.646162, 5772249928.913274, 5692337710.372258, 5129289675.961555, 5591062857.653509]","(5330882486.714057, 5418936045.156891, 5621386476.981057, 5791180419.048807, 5862856725.717951)"
1000,500,"[5923510287.802224, 5004488992.646563, 4952716501.620943, 5455041665.834867, 4975098585.00656, 4908024480.357782, 5761368669.495439, 5698963724.3551655, 5122550081.481189, 5402210122.91587]","(5058695795.362594, 5108487348.113981, 5328114990.237875, 5545576529.0451565, 5599634584.480681)"
1000,1000,"[4866418438.236817, 5300193416.675543, 5323198091.103863, 5805064396.825901, 5409343379.391324, 5647299174.484416, 5787792162.371557, 5668082633.792601, 5551039763.081797, 5667005931.671752]","(5217752696.00825, 5321403296.453745, 5503831816.500312, 5668633996.977278, 5709920652.797922)"
