population,iterations,fitness,stats
200,100,"[5721660826.982012, 7198162756.982261, 6796314172.513774, 6112298550.709089, 6737156568.726317, 6526115108.450293, 6452128994.037118, 5407813424.606908, 7243939617.327367, 6066169658.102899]","(5959380537.0645, 6054617382.645645, 6416801634.887264, 6739660938.814755, 6870602886.777702)"
200,500,"[6450893807.90329, 5932258649.31679, 7395543587.976523, 6796809396.738108, 6680255648.2043, 6440533849.265404, 6949971789.407944, 6023029341.614631, 6520497014.190138, 6211592464.531224]","(6199881904.882685, 6240133185.624413, 6527937437.29428, 6789287945.426431, 6921528585.798559)"
200,1000,"[6737973773.8501625, 6702203398.397003, 6814471900.219031, 7766921013.342466, 6500774511.534176, 7214198018.879147, 5863583980.577878, 6014517477.2264385, 7199082524.919319, 5610094205.496107]","(6112439725.400339, 6227449227.42676, 6626864294.85433, 6968956898.652814, 7278169931.875064)"
500,100,"[5948892272.667941, 5867091941.862658, 6272882856.914929, 6274119004.29876, 6184906246.788664, 6013458170.46125, 6128579638.282371, 6180047484.945766, 6669605478.927748, 6996342525.957832]","(6038835724.544051, 6084336310.051541, 6254395717.154046, 6461753303.439047, 6591130992.300413)"
500,500,"[6317008662.389421, 5895275312.063309, 7420196809.326904, 5692911907.195278, 5660954428.094685, 6334021146.704056, 5957819142.221832, 6443139423.884646, 6041049563.693014, 6251864959.499667]","(5851801543.112955, 5946666126.986186, 6183158651.13754, 6475527239.694382, 6700244876.146615)"
500,1000,"[6224010953.209719, 6729754239.503756, 5961230033.654929, 6710187611.531712, 6110654306.932749, 6015061085.19426, 5950780473.30495, 5969000349.644355, 6475048596.983803, 6207152572.891247]","(6024553195.521808, 6077377303.868822, 6236791243.974183, 6473535547.509138, 6571397169.370215)"
1000,100,"[5912756859.139376, 6369106632.222891, 6308448485.138745, 5745733043.045322, 5394383650.450425, 6301002316.322164, 5800006367.122588, 5473457868.150445, 6222989448.860752, 5987223467.893777]","(5596484659.357648, 5742675707.183717, 5951397043.582905, 6137801118.522161, 6199175762.643797)"
1000,500,"[5997191855.536055, 6193897929.083982, 6361071919.385663, 6034655667.533815, 5849020389.447915, 5971356712.939904, 6092990844.381816, 6519873590.898733, 5805282762.346761, 5587573034.771201]","(5825520114.425272, 5863031880.095163, 6042963225.804784, 6206090613.07139, 6264352889.432563)"
1000,1000,"[6299098532.877894, 5713462725.648113, 6044787117.572168, 5887058580.014062, 5225601416.863702, 6261276091.282832, 6302824509.664934, 6379406910.777013, 4622824139.242165, 6223247707.398481]","(5273896014.219534, 5517826470.385496, 5901277840.745882, 6177320904.582117, 6255376401.594649)"
