function,dim,population,iterations,fitnesses,stats
F5,100,500,200,"[18908342.165371813, 28430088.52591098, 20941381.04161769, 18371138.108858276, 22955409.96825569, 10172408.936437612, 25877951.80571292, 19364964.394360937, 26173354.648208495, 22382622.867170412]","(16298117.359951949, 18074844.289988346, 21430982.494965382, 23914661.903936513, 25499285.333208352)"
F5,100,1000,200,"[19196422.137093328, 11162654.940442095, 14951187.625738844, 20882409.281984314, 19056331.21357331, 14011896.463604212, 17406680.2750774, 23650538.843912758, 19453609.646443628, 14695738.689056285]","(14457190.559821734, 14966424.729905471, 17406088.618812375, 19396871.70936798, 20728308.80143382)"
