function,dim,population,iterations,fitnesses,stats
F17,100,500,200,"[166385.13771196443, 221606.38531628618, 220589.40575678577, 199861.4196837053, 209884.74060842308, 227360.5523851214, 222328.448688136, 217091.37774914788, 203096.3744447388, 222195.45488534012]","(196426.25448477318, 199962.11340672587, 210993.49331443623, 220237.187261186, 224156.9793517214)"
F17,100,1000,200,"[210543.64737578636, 211628.99657029583, 216968.5706127957, 231390.2839859134, 220129.85634493505, 204590.9322273467, 218980.71667391903, 194751.38885468923, 217459.63598860707, 215436.96353666176]","(206907.2932125174, 208882.9640141208, 214341.06395195573, 220564.57733890568, 223532.48097407125)"
